org_id.value,Negocio creado el,Fecha de ganado,Fecha de perdido,Origen,Tipo de cliente,Canal Agrupado,Tiempo de contacto (min),(C) (EXP) Plazo y Pago,(EXP) Fecha Kickoff,(EXP) Fecha de finalización de onboarding
6046.0,2021-12-29 04:00:00,,2024-12-31 00:00:00,ManuallyCreated,C,,998.0,Anual,2022-01-13,
12250.0,2022-10-03 04:00:00,2022-10-03 22:55:02,,ManuallyCreated,B,,998.0,Anual,2022-10-07,
11979.0,2023-12-26 04:00:00,2023-12-26 14:47:22,,ManuallyCreated,B,,998.0,Anual,2020-04-30,
8994.0,2023-12-01 04:00:00,2023-12-01 20:12:29,,ManuallyCreated,B,,998.0,Anual,2020-07-24,
16801.0,2023-01-31 04:00:00,2022-01-14 00:30:27,,API,A,,2397.0,Anual,2020-10-31,
16187.0,2023-10-07 04:00:00,,2023-11-21 22:03:06,API,B,,998.0,Mensual,2020-11-12,
16803.0,2023-10-06 04:00:00,2023-10-06 15:45:03,,API,C,,2397.0,Anual,2020-11-10,
20471.0,2023-02-10 04:00:00,,2023-07-03 18:54:50,API,C,,349.0,Mensual,2021-02-17,
20647.0,2021-01-07 19:11:39,2022-01-14 00:30:37,,API,C,,83.16,Mensual,2021-02-04,
20626.0,2021-01-07 20:44:10,,2021-12-01 13:39:43,API,B,,466.0,Anual,2021-02-26,
20763.0,2021-01-08 23:32:41,,2023-03-02 12:49:09,API,B,,998.0,Anual,2021-02-08,
20826.0,2021-01-09 15:38:47,2022-01-14 00:30:37,,API,B,,1751.03,Anual,2021-02-12,
19204.0,2021-01-13 17:21:07,2022-01-14 00:30:37,,API,B,,998.0,Anual,2021-02-05,
19408.0,2021-01-14 02:56:56,,2022-02-28 23:57:06,API,B,,1397.0,Anual,2021-02-12,
6841.0,2021-01-15 18:44:08,,2023-03-02 12:49:09,API,B,,998.0,Anual,2021-02-05,
21098.0,2021-01-16 02:43:05,,2023-03-02 12:49:09,API,B,,349.0,Anual,2021-03-10,
129.0,2021-01-18 12:40:58,,2023-02-03 13:36:35,API,B,,,Anual,2021-02-12,
20029.0,2021-01-18 13:09:51,2022-01-14 00:30:37,,ManuallyCreated,C,,1397.0,Anual,2021-02-25,
7804.0,2021-01-18 13:18:37,2022-01-14 00:30:37,,ManuallyCreated,B,,998.0,Anual,2021-01-15,
21848.0,2021-01-18 15:20:45,,2022-03-01 00:08:38,API,C,,1118.0,Anual,2021-02-11,
19231.0,2021-01-18 17:11:05,,2021-08-12 04:00:00,API,B,,,Anual,2021-02-12,
21334.0,2021-01-18 22:49:14,2022-01-14 00:30:37,,API,B,,2988.0,Anual,2021-02-12,
21942.0,2021-01-19 16:39:07,,2024-02-29 00:00:00,API,C,,798.0,Anual,2021-02-22,
22028.0,2021-01-20 21:44:36,,2022-03-31 04:00:00,API,B,,,Anual,2021-03-16,
22026.0,2021-01-21 13:58:45,2022-01-14 00:30:37,,API,C,,2397.0,Anual,2021-02-25,
22058.0,2021-01-21 16:22:41,,2023-03-02 12:49:09,API,C,,998.0,Anual,2021-03-20,
17053.0,2021-01-21 22:31:24,,2022-03-01 00:11:36,API,C,,1188.0,Anual,2021-02-01,
19831.0,2021-01-25 15:32:43,,2023-03-31 00:00:00,API,C,,1397.0,Anual,2021-02-08,
22348.0,2021-01-26 23:31:57,,2023-03-02 12:49:09,API,B,,1397.0,Anual,2021-02-12,
22364.0,2021-01-27 03:31:04,,2023-03-02 12:49:09,API,B,,1397.0,Anual,2021-02-02,
22390.0,2021-01-27 15:27:30,,2023-10-03 14:27:41,API,B,,1397.0,Anual,2021-02-08,
22432.0,2021-01-27 23:53:35,,2022-03-01 00:11:54,API,C,,,Anual,2021-02-03,
22506.0,2021-01-29 15:55:25,2022-01-14 00:30:38,,API,C,,1397.0,Anual,2021-02-10,
20599.0,2021-01-29 22:38:27,,2023-09-01 13:21:09,API,B,,1397.0,Anual,2021-02-12,
22538.0,2022-01-17 04:00:00,,2024-01-04 13:10:36,API,B,,2397.0,Anual,2021-02-03,
22544.0,2021-01-30 17:51:15,,2023-02-02 21:01:57,API,B,,,Anual,2021-02-10,
22605.0,2021-02-01 01:19:56,2022-01-14 00:30:37,,API,B,,1397.0,Anual,2021-02-25,
20606.0,2021-02-01 01:52:25,,2023-03-31 00:00:00,API,B,,2397.0,Anual,2021-02-11,
22724.0,2021-02-03 13:30:00,,2023-03-31 00:00:00,API,B,,1397.0,Anual,2021-02-11,
22741.0,2021-02-03 20:34:58,,2023-06-27 19:23:48,API,B,,998.0,Anual,2021-02-12,
20922.0,2021-02-05 00:13:13,,2022-03-31 04:00:00,API,C,,,Anual,2021-02-09,
22692.0,2021-02-08 14:14:55,2022-01-14 00:30:37,,API,C,,1397.0,Anual,2021-02-22,
22929.0,2021-02-08 20:00:58,,2023-03-31 00:00:00,API,B,,1397.0,Anual,2021-02-10,
22942.0,2021-02-09 00:35:18,,2023-09-15 19:26:24,API,A,,1397.0,Anual,2021-02-10,
11183.0,2021-02-09 15:37:37,2022-01-14 00:30:43,,API,C,,1397.0,Anual,2021-02-11,
20110.0,2021-02-09 19:16:25,2022-01-14 00:30:42,,API,B,,1117.6,Anual,2021-02-17,
23007.0,2021-02-10 22:33:05,,2022-02-28 23:56:35,ManuallyCreated,C,,998.0,Otros,2021-02-17,
19203.0,2021-02-10 22:34:46,2022-01-14 00:30:42,,API,A,,5628.0,Anual,2021-02-12,
19997.0,2021-02-11 22:43:10,,2024-06-03 03:11:58,API,B,,169.0,Mensual,2021-02-19,
23584.0,2021-02-19 15:41:48,2022-01-14 00:30:41,,API,B,,838.15,Anual,2021-02-23,
23745.0,2021-02-21 16:53:01,,2023-04-30 00:00:00,API,C,,1397.0,Anual,2021-04-26,
23873.0,2021-02-23 04:00:36,,2023-09-18 14:07:39,API,B,,998.0,Anual,2021-03-03,
23942.0,2021-02-23 22:30:58,,2023-09-18 13:04:19,API,B,,1397.0,Anual,2021-03-01,
22905.0,2021-02-25 00:10:15,,2023-03-31 00:00:00,API,B,,1397.0,Anual,2021-03-01,
75.0,2021-02-25 04:01:03,2022-01-14 00:30:38,,API,B,,1396.92,Anual,2021-03-17,
24077.0,2021-02-25 18:35:36,,2023-03-31 00:00:00,API,C,,1397.0,Anual,2021-03-04,
24091.0,2021-02-25 19:12:54,,2023-07-27 16:00:24,API,C,,1397.0,Mensual,2021-03-02,
24297.0,2021-02-28 20:11:10,,2025-01-26 00:10:06,API,C,,116.41,Mensual,2021-03-08,
16291.0,2021-02-28 20:18:21,,2022-03-31 04:00:00,API,C,,978.0,Anual,2021-03-08,
3979.0,2021-02-28 23:11:51,,2024-03-18 16:15:58,API,B,,0.0,Anual,2021-03-08,
24211.0,2021-03-01 00:28:13,,2023-03-31 00:00:00,API,B,,1397.0,Anual,2021-03-05,
24214.0,2021-03-01 00:36:20,,2023-03-31 00:00:00,API,C,,998.0,Anual,2021-03-05,
21962.0,2021-03-01 01:11:49,,2022-03-31 04:00:00,API,C,,,Otros,2021-03-17,
24447.0,2021-03-03 20:47:41,2022-01-14 00:30:43,,API,B,,2397.0,Anual,2021-03-09,
24707.0,2021-03-01 04:00:00,,2023-04-30 00:00:00,API,A,,,Anual,2021-03-05,
21952.0,2021-03-10 22:55:43,,2022-04-30 00:00:00,API,B,,978.0,Anual,2021-03-19,
24445.0,2021-03-12 18:19:51,2022-01-14 00:30:37,,API,B,,1397.0,Anual,2021-03-19,
23798.0,2021-03-12 20:13:56,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-03-19,
24973.0,2021-03-15 20:26:56,,2023-06-27 19:09:49,API,B,,1497.0,Anual,2021-03-23,
25041.0,2021-03-17 12:25:20,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-03-22,
13333.0,2021-03-18 13:28:25,,2022-08-30 14:38:30,API,C,,1498.5,Mensual,2021-03-19,
25122.0,2021-03-19 21:22:18,2022-01-14 00:30:43,,API,B,,349.0,Anual,2021-03-23,
25121.0,2021-03-19 22:20:19,,2023-03-31 00:00:00,API,C,,1397.0,Anual,2021-03-25,
25132.0,2021-03-20 14:16:54,2022-01-14 00:30:42,,API,C,,1397.0,Anual,2021-04-15,
25790.0,2021-03-23 22:17:18,,2022-03-31 04:00:00,API,C,,1397.0,Anual,2021-03-30,
25849.0,2021-03-25 00:19:44,,2023-04-30 00:00:00,API,C,,1397.0,Anual,2021-04-01,
25861.0,2021-03-25 02:44:23,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-04-01,
25928.0,2021-03-26 13:19:42,,2023-04-30 00:00:00,API,B,,998.0,Anual,2021-03-31,
25940.0,2021-03-26 16:47:28,2022-01-14 00:30:37,,API,B,,1397.0,Anual,2021-03-29,
2073.0,2021-03-29 21:50:24,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-03-29,
234.0,2021-03-31 14:43:53,2022-01-14 00:30:37,,API,B,,2397.0,Anual,2021-04-05,
26102.0,2021-03-31 20:25:42,,2022-07-01 02:07:08,API,B,,1397.0,Anual,2021-04-08,
25950.0,2021-03-31 21:07:56,,2023-04-30 00:00:00,API,C,,1397.0,Anual,2021-04-05,
26103.0,2021-03-31 21:25:17,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-04-19,
24775.0,2021-03-31 22:23:26,,2023-07-27 14:22:21,API,B,,2095.0,Anual,2021-03-31,
25844.0,2021-03-31 22:33:14,,2023-04-30 00:00:00,API,B,,1397.0,Anual,2021-04-07,
7735.0,2021-04-01 00:21:44,2022-01-14 00:30:37,,API,B,,1397.0,Anual,2021-04-07,
26113.0,2021-04-01 00:47:47,,2023-06-01 22:21:18,API,B,,1397.0,Anual,2021-08-05,
26100.0,2021-04-01 02:29:02,,2022-06-02 15:40:48,API,C,,978.0,Anual,2021-04-07,
23453.0,2021-04-01 02:35:41,,2023-06-27 19:09:49,API,B,,1397.0,Anual,2021-04-16,
26249.0,2021-04-06 12:18:19,,2022-06-02 15:39:01,API,A,,698.5,Semestral,2021-04-16,
26308.0,2021-04-07 21:47:43,2022-01-14 00:30:37,,API,C,,1117.6,Anual,2021-04-16,
22051.0,2021-04-12 14:22:17,,2023-06-01 22:33:43,API,B,,2397.0,Anual,2021-04-14,
26075.0,2021-04-12 14:25:28,,2022-06-02 15:42:03,API,B,,489.0,Otros,2021-04-19,
15412.0,2021-04-14 00:36:16,,2023-07-27 16:02:09,API,B,,998.0,Anual,2021-04-19,
26524.0,2021-04-26 15:54:30,2022-01-14 00:30:43,,API,C,,1397.0,Anual,2021-04-28,
26599.0,2021-04-26 19:00:02,,2023-06-27 19:09:49,API,B,,787.0,Anual,2021-07-05,
26133.0,2021-04-26 19:10:33,,2023-06-01 22:29:23,API,B,,1397.0,Anual,2021-05-05,
27062.0,2021-04-28 15:36:59,,2022-08-30 14:57:50,API,B,,,Anual,2021-04-29,
27121.0,2021-04-29 22:12:51,,2022-05-31 20:29:47,API,C,,,Anual,2021-04-30,
25769.0,2021-04-30 16:40:20,,2021-10-01 00:52:36,API,B,,2098.0,Semestral,2021-05-04,
27155.0,2021-04-30 18:47:49,,2022-07-01 02:12:28,API,B,,347.0,Anual,2021-04-30,
26255.0,2021-04-30 22:34:49,2022-01-14 00:30:37,,API,C,,1397.0,Anual,2021-04-30,
1026.0,2021-04-30 23:25:49,,2023-07-31 00:00:00,API,B,,998.0,Anual,2023-10-14,
26404.0,2021-05-01 01:22:34,,2023-07-27 14:23:39,API,C,,1397.0,Anual,2021-05-19,
15060.0,2021-05-01 01:42:11,,2023-07-01 00:00:00,API,B,,998.0,Anual,2021-05-07,
26474.0,2021-05-07 22:04:18,,2023-06-01 22:36:51,API,B,,998.0,Anual,2021-05-11,
21824.0,2021-05-10 19:56:45,,2023-06-01 22:35:07,API,C,,1397.0,Anual,2021-05-10,
27190.0,2021-05-10 22:00:13,,2023-06-01 22:47:03,API,B,,1397.0,Anual,2021-05-11,
27615.0,2021-05-11 22:28:50,,2023-06-01 22:40:14,API,B,,1397.0,Anual,2021-05-14,
