org_id.value,Tipo de cliente,Total_Actividades_com,Total_Llamadas_com,Llamadas_Efectivas_com,Llamadas_No_Efectivas_com,WA_Seguimiento_com,Reuniones_Hechas,Reuniones_Canceladas,Tipo Primer Contacto,Rango de Contacto,New Categories,R1yR2,Total_Actividades_exp,Total_Llamadas_exp,Llamadas_Efectivas_exp,Llamadas_No_Efectivas_exp,WA_Seguimiento_exp,Kickoff_Hechas,Kickoff_Canceladas,Capacitaciones_Hechas,Capacitaciones_Canceladas,Tipo Primera Capacitación,Onboarding,(C) (EXP) Plazo y Pago,Churn Comercial
515.0,B,30,16,7,9,13,1,0,No Efectiva,Fuera del rango,0,0,8,3,2,1,1,1,1,0,2,Hecha,No Finalizado,Anual,0
2249.0,B,12,8,4,4,3,1,0,Efectiva,Dentro del rango,0,0,4,0,0,0,0,1,0,2,1,Hecha,No Finalizado,Anual,0
3120.0,B,9,6,5,1,2,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,0,0,1,0,Hecha,No Finalizado,Anual,0
5181.0,B,10,3,2,1,6,1,0,No Efectiva,Fuera del rango,0,0,9,1,1,0,5,0,0,3,0,Hecha,No Finalizado,Anual,0
8446.0,A,8,3,3,0,4,1,0,Efectiva,Fuera del rango,0,0,10,3,3,0,1,0,0,6,0,Hecha,Finalizado,Anual,0
8875.0,C,8,3,2,1,4,1,0,No Efectiva,Fuera del rango,0,0,7,1,1,0,0,1,0,4,1,Hecha,No Finalizado,Anual,0
11006.0,B,11,6,4,2,4,1,0,No Efectiva,Fuera del rango,0,0,10,3,2,1,3,1,1,2,0,Hecha,No Finalizado,Anual,0
11790.0,A,31,14,7,7,12,2,3,No Efectiva,Dentro del rango,1,1,12,7,2,5,5,0,0,0,0,No tuvo,No Finalizado,Mensual,1
13244.0,B,24,12,5,7,10,2,0,No Efectiva,Fuera del rango,0,1,8,1,0,1,7,0,0,0,0,No tuvo,Finalizado,Mensual,0
13303.0,B,8,1,1,0,5,2,0,Efectiva,Fuera del rango,1,1,6,3,0,3,3,0,0,0,0,No tuvo,Finalizado,Mensual,1
14643.0,C,5,2,2,0,1,2,0,Efectiva,Dentro del rango,1,1,5,1,1,0,4,0,0,0,0,No tuvo,Finalizado,Anual,0
15666.0,C,10,6,2,4,4,0,0,Efectiva,Fuera del rango,0,0,5,2,0,2,1,1,0,0,1,Hecha,No Finalizado,Anual,0
18157.0,A,2,1,1,0,1,0,0,Efectiva,Fuera del rango,1,0,5,0,0,0,4,0,0,1,0,Hecha,Finalizado,Mensual,0
18318.0,A,5,3,2,1,1,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
19418.0,B,8,3,2,1,3,2,0,No Efectiva,Fuera del rango,0,1,2,1,1,0,1,0,0,0,0,No tuvo,Finalizado,Anual,0
21240.0,B,15,5,5,0,6,4,0,Efectiva,Fuera del rango,0,0,3,0,0,0,0,0,0,3,0,Hecha,No Finalizado,Anual,0
21928.0,B,10,6,6,0,2,2,0,Efectiva,Fuera del rango,0,1,20,8,2,6,5,0,1,3,3,Hecha,No Finalizado,Mensual,1
22300.0,B,15,9,8,1,5,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
23853.0,B,15,6,4,2,8,1,0,No Efectiva,Fuera del rango,0,0,20,4,1,3,0,1,0,12,3,Hecha,No Finalizado,Anual,0
24066.0,C,49,31,22,9,13,3,2,Efectiva,Fuera del rango,0,0,10,4,2,2,6,0,0,0,0,No tuvo,Finalizado,Mensual,0
25099.0,B,8,3,2,1,4,1,0,Efectiva,Fuera del rango,0,0,31,14,2,12,16,1,0,0,0,No tuvo,No Finalizado,Mensual,0
25239.0,"A
",11,7,6,1,1,2,1,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
25986.0,B,16,9,8,1,6,1,0,Efectiva,Fuera del rango,0,0,4,0,0,0,0,1,0,3,0,Hecha,No Finalizado,Anual,0
26138.0,C,31,17,14,3,10,2,2,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
26622.0,B,13,9,8,1,2,1,1,Efectiva,Fuera del rango,0,0,7,3,2,1,1,0,0,2,1,Hecha,No Finalizado,Anual,0
26808.0,B,61,31,9,22,28,1,1,No Efectiva,Fuera del rango,0,0,10,5,0,5,4,1,0,0,0,No tuvo,No Finalizado,Anual,0
